test_id,relation,type,tvd,p_value,violation,expected_violation
1,identity,valid,0.0,1.0,False,
1,barrier,valid,0.0,1.0,False,
1,commute,valid,0.0,1.0,False,
1,fault_add_x,fault,1.0,0.0,True,True
1,fault_remove_random,fault,1.0,0.0,True,True
1,fault_change_target_qubit,fault,1.0,0.0,True,True
2,identity,valid,0.0126,0.0175,True,
2,barrier,valid,0.0181,0.0002,True,
2,commute,valid,0.0153,0.0054,True,
2,fault_add_x,fault,1.0,0.0,True,True
2,fault_remove_random,fault,0.0122,0.0359,True,True
2,fault_change_target_qubit,fault,0.011,0.0634,False,True
3,identity,valid,0.0084,0.2405,False,
3,barrier,valid,0.0076,0.3398,False,
3,commute,valid,0.004,0.8218,False,
3,fault_add_x,fault,1.0,0.0,True,True
3,fault_remove_random,fault,1.0,0.0,True,True
3,fault_change_target_qubit,fault,0.748,0.0,True,True
4,identity,valid,0.0079,0.433,False,
4,barrier,valid,0.0063,0.5981,False,
4,commute,valid,0.0077,0.3224,False,
4,fault_add_x,fault,0.0045,0.7085,False,True
4,fault_remove_random,fault,0.007,0.4089,False,True
4,fault_change_target_qubit,fault,0.0072,0.4691,False,True
5,identity,valid,0.0073,0.9154,False,
5,barrier,valid,0.0085,0.7244,False,
5,commute,valid,0.0137,0.171,False,
5,fault_add_x,fault,0.0097,0.628,False,True
5,fault_remove_random,fault,1.0,0.0,True,True
5,fault_change_target_qubit,fault,0.0098,0.6286,False,True
6,identity,valid,0.0023,0.9705,False,
6,barrier,valid,0.009,0.1421,False,
6,commute,valid,0.0036,0.8629,False,
6,fault_add_x,fault,0.0127,0.0878,False,True
6,fault_remove_random,fault,0.0115,0.0987,False,True
6,fault_change_target_qubit,fault,0.0057,0.6859,False,True
7,identity,valid,0.0068,0.5236,False,
7,barrier,valid,0.0066,0.6235,False,
7,commute,valid,0.004,0.8173,False,
7,fault_add_x,fault,0.0043,0.8007,False,True
7,fault_remove_random,fault,0.5028,0.0,True,True
7,fault_change_target_qubit,fault,0.505,0.0,True,True
8,identity,valid,0.0112,0.9308,False,
8,barrier,valid,0.0198,0.0699,False,
8,commute,valid,0.0115,0.9124,False,
8,fault_add_x,fault,0.011,0.9415,False,True
8,fault_remove_random,fault,0.4985,0.0,True,True
8,fault_change_target_qubit,fault,0.0148,0.4484,False,True
9,identity,valid,0.0098,0.1286,False,
9,barrier,valid,0.0064,0.5022,False,
9,commute,valid,0.0088,0.2608,False,
9,fault_add_x,fault,1.0,0.0,True,True
9,fault_remove_random,fault,0.5078,0.0,True,True
9,fault_change_target_qubit,fault,1.0,0.0,True,True
10,identity,valid,0.0145,0.0228,True,
10,barrier,valid,0.0128,0.1292,False,
10,commute,valid,0.0081,0.8281,False,
10,fault_add_x,fault,1.0,0.0,True,True
10,fault_remove_random,fault,0.0118,0.1878,False,True
10,fault_change_target_qubit,fault,0.0161,0.0785,False,True
11,identity,valid,0.0033,0.5093,False,
11,barrier,valid,0.0038,0.4533,False,
11,commute,valid,0.002,0.7039,False,
11,fault_add_x,fault,1.0,0.0,True,True
11,fault_remove_random,fault,0.498,0.0,True,True
11,fault_change_target_qubit,fault,0.0018,0.7339,False,True
12,identity,valid,0.0121,0.0155,True,
12,barrier,valid,0.0018,0.7188,False,
12,commute,valid,0.0099,0.0488,True,
12,fault_add_x,fault,1.0,0.0,True,True
12,fault_remove_random,fault,0.5062,0.0,True,True
12,fault_change_target_qubit,fault,1.0,0.0,True,True
13,identity,valid,0.0,1.0,False,
13,barrier,valid,0.0,1.0,False,
13,commute,valid,0.0,1.0,False,
