test_id,relation,type,tvd,p_value,violation,expected_violation
1,identity,valid,0.0,1.0,False,
1,barrier,valid,0.0,1.0,False,
1,commute,valid,0.0,1.0,False,
1,fault_add_x,fault,1.0,0.0,True,True
1,fault_remove_random,fault,1.0,0.0,True,True
1,fault_change_target_qubit,fault,1.0,0.0,True,True
2,identity,valid,0.0056,0.7241,False,
2,barrier,valid,0.0065,0.5186,False,
2,commute,valid,0.0082,0.2745,False,
2,fault_add_x,fault,1.0,0.0,True,True
2,fault_remove_random,fault,0.4998,0.0,True,True
2,fault_change_target_qubit,fault,0.5041,0.0,True,True
3,identity,valid,0.0065,0.5135,False,
3,barrier,valid,0.0078,0.4404,False,
3,commute,valid,0.0034,0.8417,False,
3,fault_add_x,fault,1.0,0.0,True,True
3,fault_remove_random,fault,1.0,0.0,True,True
3,fault_change_target_qubit,fault,0.0053,0.6015,False,True
4,identity,valid,0.0069,0.3872,False,
4,barrier,valid,0.0068,0.4361,False,
4,commute,valid,0.0062,0.5369,False,
4,fault_add_x,fault,0.0083,0.2578,False,True
4,fault_remove_random,fault,1.0,0.0,True,True
4,fault_change_target_qubit,fault,0.5025,0.0,True,True
5,identity,valid,0.0103,0.3961,False,
5,barrier,valid,0.0097,0.6528,False,
5,commute,valid,0.0182,0.0166,True,
5,fault_add_x,fault,0.0093,0.7229,False,True
5,fault_remove_random,fault,0.0106,0.5582,False,True
5,fault_change_target_qubit,fault,0.0167,0.0347,True,True
6,identity,valid,0.0056,0.605,False,
6,barrier,valid,0.0048,0.7396,False,
6,commute,valid,0.0097,0.1602,False,
6,fault_add_x,fault,0.011,0.0683,False,True
6,fault_remove_random,fault,0.011,0.1337,False,True
6,fault_change_target_qubit,fault,0.0066,0.4492,False,True
7,identity,valid,0.0031,0.9152,False,
7,barrier,valid,0.0068,0.4318,False,
7,commute,valid,0.0061,0.6447,False,
7,fault_add_x,fault,1.0,0.0,True,True
7,fault_remove_random,fault,0.5045,0.0,True,True
7,fault_change_target_qubit,fault,0.4983,0.0,True,True
8,identity,valid,0.0112,0.897,False,
8,barrier,valid,0.0113,0.9219,False,
8,commute,valid,0.0073,0.9986,False,
8,fault_add_x,fault,0.0142,0.6796,False,True
8,fault_remove_random,fault,0.0186,0.2607,False,True
8,fault_change_target_qubit,fault,0.0126,0.8972,False,True
9,identity,valid,0.0052,0.7785,False,
9,barrier,valid,0.0077,0.3405,False,
9,commute,valid,0.0064,0.5306,False,
9,fault_add_x,fault,0.0025,0.9534,False,True
9,fault_remove_random,fault,0.0043,0.8628,False,True
9,fault_change_target_qubit,fault,0.5053,0.0,True,True
10,identity,valid,0.0103,0.558,False,
10,barrier,valid,0.0097,0.5774,False,
10,commute,valid,0.0065,0.94,False,
10,fault_add_x,fault,1.0,0.0,True,True
10,fault_remove_random,fault,0.4994,0.0,True,True
10,fault_change_target_qubit,fault,1.0,0.0,True,True
11,identity,valid,0.0025,0.6241,False,
11,barrier,valid,0.0019,0.7114,False,
11,commute,valid,0.0113,0.0238,True,
11,fault_add_x,fault,1.0,0.0,True,True
11,fault_remove_random,fault,0.0021,0.6745,False,True
11,fault_change_target_qubit,fault,1.0,0.0,True,True
12,identity,valid,0.0017,0.7414,False,
12,barrier,valid,0.005,0.3222,False,
12,commute,valid,0.0077,0.1285,False,
12,fault_add_x,fault,1.0,0.0,True,True
12,fault_remove_random,fault,0.5044,0.0,True,True
12,fault_change_target_qubit,fault,0.7492,0.0,True,True
13,identity,valid,0.0,1.0,False,
13,barrier,valid,0.0,1.0,False,
13,commute,valid,0.0,1.0,False,
