test_id,relation,type,tvd,p_value,chi2_stat,tvd_violation,chi_violation,violation,expected_violation
1,identity,valid,0.0,1.0,0.0,False,False,False,False
1,barrier,valid,0.0,1.0,0.0,False,False,False,False
1,commute,valid,0.0,1.0,0.0,False,False,False,False
1,fault_add_x,fault,1.0,0.0,39996.0001,True,True,True,True
1,fault_remove_random,fault,1.0,0.0,39996.0001,True,True,True,True
1,fault_change_target_qubit,fault,0.0,1.0,0.0,False,False,False,True
2,identity,valid,0.0016,0.7566,0.0961,False,False,False,False
2,barrier,valid,0.0036,0.4777,0.5041,False,False,False,False
2,commute,valid,0.002,0.6892,0.16,False,False,False,False
2,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
2,fault_remove_random,fault,0.0024,0.6312,0.2304,False,False,False,True
2,fault_change_target_qubit,fault,0.0029,0.5755,0.3136,False,False,False,True
3,identity,valid,0.0,1.0,0.0,False,False,False,False
3,barrier,valid,0.0,1.0,0.0,False,False,False,False
3,commute,valid,0.0,1.0,0.0,False,False,False,False
3,fault_add_x,fault,1.0,0.0,39996.0001,True,True,True,True
3,fault_remove_random,fault,1.0,0.0,39996.0001,True,True,True,True
3,fault_change_target_qubit,fault,1.0,0.0,39996.0001,True,True,True,True
4,identity,valid,0.0032,0.5353,0.3844,False,False,False,False
4,barrier,valid,0.0022,0.6672,0.1849,False,False,False,False
4,commute,valid,0.0007,0.9045,0.0144,False,False,False,False
4,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
4,fault_remove_random,fault,0.4993,0.0,13307.5669,True,True,True,True
4,fault_change_target_qubit,fault,0.4994,0.0,19902.2579,True,True,True,True
5,identity,valid,0.0085,0.3446,3.3221,False,False,False,False
5,barrier,valid,0.0082,0.2572,4.0399,False,False,False,False
5,commute,valid,0.0064,0.4852,2.4459,False,False,False,False
5,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
5,fault_remove_random,fault,1.0,0.0,40000.0,True,True,True,True
5,fault_change_target_qubit,fault,1.0,0.0,40000.0,True,True,True,True
6,identity,valid,0.0,1.0,0.0,False,False,False,False
6,barrier,valid,0.0,1.0,0.0,False,False,False,False
6,commute,valid,0.0,1.0,0.0,False,False,False,False
6,fault_add_x,fault,1.0,0.0,39996.0001,True,True,True,True
6,fault_remove_random,fault,0.5018,0.0,13394.7405,True,True,True,True
6,fault_change_target_qubit,fault,0.0,1.0,0.0,False,False,False,True
7,identity,valid,0.0029,0.5687,0.3249,False,False,False,False
7,barrier,valid,0.0035,0.4965,0.4624,False,False,False,False
7,commute,valid,0.0032,0.5353,0.3844,False,False,False,False
7,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
7,fault_remove_random,fault,1.0,0.0,40000.0,True,True,True,True
7,fault_change_target_qubit,fault,0.0032,0.5287,0.3969,False,False,False,True
8,identity,valid,0.0025,0.6171,0.25,False,False,False,False
8,barrier,valid,0.0061,0.2263,1.4641,False,False,False,False
8,commute,valid,0.0025,0.6241,0.2401,False,False,False,False
8,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
8,fault_remove_random,fault,1.0,0.0,40000.0,True,True,True,True
8,fault_change_target_qubit,fault,0.0025,0.6171,0.25,False,False,False,True
9,identity,valid,0.0006,0.9124,0.0121,False,False,False,False
9,barrier,valid,0.0041,0.4179,0.6561,False,False,False,False
9,commute,valid,0.0038,0.4532,0.5625,False,False,False,False
9,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
9,fault_remove_random,fault,0.0048,0.3371,0.9216,False,False,False,True
9,fault_change_target_qubit,fault,0.0041,0.4122,0.6724,False,False,False,True
10,identity,valid,0.0054,0.2891,1.1236,False,False,False,False
10,barrier,valid,0.0056,0.2713,1.21,False,False,False,False
10,commute,valid,0.0047,0.3524,0.8649,False,False,False,False
10,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
10,fault_remove_random,fault,0.5007,0.0,13358.6921,True,True,True,True
10,fault_change_target_qubit,fault,0.7499,0.0,23992.8972,True,True,True,True
11,identity,valid,0.0,1.0,0.0,False,False,False,False
11,barrier,valid,0.0,1.0,0.0,False,False,False,False
11,commute,valid,0.0,1.0,0.0,False,False,False,False
11,fault_add_x,fault,1.0,0.0,39996.0001,True,True,True,True
11,fault_remove_random,fault,1.0,0.0,39996.0001,True,True,True,True
11,fault_change_target_qubit,fault,1.0,0.0,39996.0001,True,True,True,True
12,identity,valid,0.0001,0.992,0.0001,False,False,False,False
12,barrier,valid,0.0021,0.6818,0.1681,False,False,False,False
12,commute,valid,0.0008,0.8887,0.0196,False,False,False,False
12,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
12,fault_remove_random,fault,0.499,0.0,19947.0084,True,True,True,True
12,fault_change_target_qubit,fault,0.0014,0.7795,0.0784,False,False,False,True
13,identity,valid,0.0054,0.2801,1.1664,False,False,False,False
13,barrier,valid,0.0037,0.4593,0.5476,False,False,False,False
13,commute,valid,0.0003,0.9601,0.0025,False,False,False,False
13,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
13,fault_remove_random,fault,0.5005,0.0,13348.4496,True,True,True,True
13,fault_change_target_qubit,fault,0.0013,0.8103,0.0576,False,False,False,True
14,identity,valid,0.0022,0.6745,0.1764,False,False,False,False
14,barrier,valid,0.0035,0.4902,0.4761,False,False,False,False
14,commute,valid,0.0064,0.2077,1.5876,False,False,False,False
14,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
14,fault_remove_random,fault,0.0049,0.3371,0.9216,False,False,False,True
14,fault_change_target_qubit,fault,1.0,0.0,40000.0,True,True,True,True
15,identity,valid,0.0075,0.1389,2.1905,False,False,False,False
15,barrier,valid,0.0038,0.4593,0.5476,False,False,False,False
15,commute,valid,0.0024,0.6384,0.2209,False,False,False,False
15,fault_add_x,fault,0.0,1.0,0.0,False,False,False,True
15,fault_remove_random,fault,1.0,0.0,40000.0,True,True,True,True
15,fault_change_target_qubit,fault,1.0,0.0,40000.0,True,True,True,True
16,identity,valid,0.0054,0.2846,1.1451,False,False,False,False
16,barrier,valid,0.0164,0.0011,10.693,False,True,True,False
16,commute,valid,0.0121,0.0164,5.7603,False,False,False,False
16,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
16,fault_remove_random,fault,0.4904,0.0,12991.5211,True,True,True,True
16,fault_change_target_qubit,fault,0.4984,0.0,19777.2658,True,True,True,True
17,identity,valid,0.006,0.6026,1.8572,False,False,False,False
17,barrier,valid,0.0088,0.3264,3.4567,False,False,False,False
17,commute,valid,0.0077,0.4549,2.6147,False,False,False,False
17,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
17,fault_remove_random,fault,0.5008,0.0,13361.142,True,True,True,True
17,fault_change_target_qubit,fault,0.0025,0.962,0.2896,False,False,False,True
18,identity,valid,0.0034,0.4965,0.4624,False,False,False,False
18,barrier,valid,0.0003,0.9601,0.0025,False,False,False,False
18,commute,valid,0.004,0.4354,0.6084,False,False,False,False
18,fault_add_x,fault,1.0,0.0,40000.0,True,True,True,True
18,fault_remove_random,fault,1.0,0.0,40000.0,True,True,True,True
18,fault_change_target_qubit,fault,0.0023,0.6527,0.2025,False,False,False,True
19,identity,valid,0.0,1.0,0.0,False,False,False,False
19,barrier,valid,0.0,1.0,0.0,False,False,False,False
19,commute,valid,0.0,1.0,0.0,False,False,False,False
19,fault_add_x,fault,1.0,0.0,39996.0001,True,True,True,True
19,fault_remove_random,fault,1.0,0.0,39996.0001,True,True,True,True
19,fault_change_target_qubit,fault,1.0,0.0,39996.0001,True,True,True,True
