tvd_threshold,chi_alpha,fp_rate (%),tp_rate (%),precision,recall,f1_score
0.02,0.01,0.83,64.33,0.9872,0.6433,0.779
0.03,0.01,0.67,64.17,0.9897,0.6417,0.7786
0.055,0.01,0.67,64.17,0.9897,0.6417,0.7786
0.05,0.01,0.67,64.17,0.9897,0.6417,0.7786
0.04,0.01,0.67,64.17,0.9897,0.6417,0.7786
0.07,0.01,0.67,64.17,0.9897,0.6417,0.7786
0.06,0.01,0.67,64.17,0.9897,0.6417,0.7786
0.02,0.1,6.67,67.33,0.9099,0.6733,0.7739
0.055,0.1,6.67,67.33,0.9099,0.6733,0.7739
0.07,0.1,6.67,67.33,0.9099,0.6733,0.7739
0.04,0.1,6.67,67.33,0.9099,0.6733,0.7739
0.05,0.1,6.67,67.33,0.9099,0.6733,0.7739
