tvd_threshold,chi_alpha,fp_count,tp_count,fn_count,tn_count,fp_rate (%),tp_rate (%),precision,recall,f1_score
0.01,0.01,59,469,131,541,9.83,78.17,0.8883,0.7817,0.8316
0.01,0.05,61,469,131,539,10.17,78.17,0.8849,0.7817,0.8301
0.01,0.1,69,473,127,531,11.5,78.83,0.8727,0.7883,0.8284
0.02,0.01,8,455,145,592,1.33,75.83,0.9827,0.7583,0.8561
0.02,0.05,28,460,140,572,4.67,76.67,0.9426,0.7667,0.8456
0.02,0.1,47,467,133,553,7.83,77.83,0.9086,0.7783,0.8384
0.03,0.01,8,455,145,592,1.33,75.83,0.9827,0.7583,0.8561
0.03,0.05,28,460,140,572,4.67,76.67,0.9426,0.7667,0.8456
0.03,0.1,47,467,133,553,7.83,77.83,0.9086,0.7783,0.8384
0.04,0.01,8,455,145,592,1.33,75.83,0.9827,0.7583,0.8561
0.04,0.05,28,460,140,572,4.67,76.67,0.9426,0.7667,0.8456
0.04,0.1,47,467,133,553,7.83,77.83,0.9086,0.7783,0.8384
0.05,0.01,8,455,145,592,1.33,75.83,0.9827,0.7583,0.8561
0.05,0.05,28,460,140,572,4.67,76.67,0.9426,0.7667,0.8456
0.05,0.1,47,467,133,553,7.83,77.83,0.9086,0.7783,0.8384
0.055,0.01,8,455,145,592,1.33,75.83,0.9827,0.7583,0.8561
0.055,0.05,28,460,140,572,4.67,76.67,0.9426,0.7667,0.8456
0.055,0.1,47,467,133,553,7.83,77.83,0.9086,0.7783,0.8384
0.06,0.01,8,455,145,592,1.33,75.83,0.9827,0.7583,0.8561
0.06,0.05,28,460,140,572,4.67,76.67,0.9426,0.7667,0.8456
0.06,0.1,47,467,133,553,7.83,77.83,0.9086,0.7783,0.8384
0.07,0.01,8,455,145,592,1.33,75.83,0.9827,0.7583,0.8561
0.07,0.05,28,460,140,572,4.67,76.67,0.9426,0.7667,0.8456
0.07,0.1,47,467,133,553,7.83,77.83,0.9086,0.7783,0.8384
