relation,type,run,delta_E,avg_energy_diff,max_energy_diff,avg_sym_diff,max_sym_diff,avg_param_diff,max_param_diff,trace_len,violation
identity,valid,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity,valid,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity,valid,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity,valid,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity,valid,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity,valid,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity,valid,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity,valid,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity,valid,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity,valid,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity,valid,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity,valid,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity,valid,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity,valid,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity,valid,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity,valid,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity,valid,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity,valid,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity,valid,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity,valid,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity,valid,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity,valid,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity,valid,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity,valid,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity,valid,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity,valid,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity,valid,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity,valid,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity,valid,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity,valid,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
barrier,valid,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
barrier,valid,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
barrier,valid,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
barrier,valid,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
barrier,valid,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
barrier,valid,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
barrier,valid,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
barrier,valid,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
barrier,valid,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
barrier,valid,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
barrier,valid,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
barrier,valid,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
barrier,valid,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
barrier,valid,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
barrier,valid,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
barrier,valid,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
barrier,valid,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
barrier,valid,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
barrier,valid,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
barrier,valid,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
barrier,valid,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
barrier,valid,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
barrier,valid,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
barrier,valid,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
barrier,valid,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
barrier,valid,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
barrier,valid,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
barrier,valid,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
barrier,valid,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
barrier,valid,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity_xx,valid,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity_xx,valid,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity_xx,valid,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity_xx,valid,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity_xx,valid,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity_xx,valid,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity_xx,valid,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity_xx,valid,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity_xx,valid,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity_xx,valid,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity_xx,valid,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity_xx,valid,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity_xx,valid,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity_xx,valid,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity_xx,valid,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity_xx,valid,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity_xx,valid,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity_xx,valid,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity_xx,valid,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity_xx,valid,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity_xx,valid,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity_xx,valid,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity_xx,valid,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity_xx,valid,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity_xx,valid,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity_xx,valid,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity_xx,valid,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity_xx,valid,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity_xx,valid,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
identity_xx,valid,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,False
fault_x,fault,1,0.00777953,0.10295079,0.43959508,0.07578311,0.70386308,2.24474496,3.53192825,40,True
fault_x,fault,2,0.2226056,0.82571779,2.11993301,1.13148654,1.95694833,1.9682356,3.84964249,40,True
fault_x,fault,3,0.04938361,0.08434084,0.71769987,0.04005186,0.39644311,2.54250736,4.03677191,40,True
fault_x,fault,4,0.62892528,0.99615892,1.92792742,1.304066,1.98848721,2.42381211,3.7728199,40,True
fault_x,fault,5,0.020671,0.07776334,0.76463692,0.02045172,0.11267654,1.76920047,3.11458778,40,True
fault_x,fault,6,0.72887518,1.0597189,2.06044811,1.31757892,1.95737762,2.29810684,4.12927432,40,True
fault_x,fault,7,0.00900855,0.13039217,0.85091393,0.23566989,0.8831533,1.84176185,3.43572909,40,True
fault_x,fault,8,0.04423886,0.11783038,0.54889702,0.03873091,0.33841864,2.25634411,3.31663024,40,True
fault_x,fault,9,0.21750008,1.05934426,2.05275121,1.07960634,1.96723931,1.91004085,3.83443074,40,True
fault_x,fault,10,0.04609581,0.07913065,0.73986101,0.0210101,0.14596848,1.94746679,2.97470378,40,True
fault_x,fault,11,0.01421925,0.06639295,0.58194682,0.03752849,0.27708628,1.85143099,2.71208438,40,True
fault_x,fault,12,0.23533835,1.16989865,2.07188458,1.22988205,1.97250082,2.09533293,3.4492605,40,True
fault_x,fault,13,0.02082208,0.09336184,0.57699623,0.04219851,0.21268579,2.38726557,3.24671068,40,True
fault_x,fault,14,0.04541897,0.10009005,0.52165089,0.05876112,0.30715092,2.4700487,3.70547896,40,True
fault_x,fault,15,0.07252242,0.10225292,0.58482397,0.04092135,0.53612864,2.09152196,3.2286714,40,True
fault_x,fault,16,0.05190152,0.1104725,0.97779943,0.25518915,0.64251951,2.21209256,3.1759614,40,True
fault_x,fault,17,0.0486376,0.0912175,0.63013174,0.02732079,0.19709202,1.7388247,2.71307899,40,True
fault_x,fault,18,0.08848617,0.47900045,1.91139713,0.64288551,1.98933889,2.66186918,4.55800129,40,True
fault_x,fault,19,0.05512006,0.66160849,1.98187099,0.99915831,1.99557702,2.46328028,4.40978858,40,True
