relation,type,run,source_num_parameters,follow_num_parameters,source_depth,follow_depth,delta_E,avg_energy_diff,max_energy_diff,avg_sym_diff,max_sym_diff,avg_param_diff,max_param_diff,trace_len,violation
identity,valid,1,48,48,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity,valid,2,48,48,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity,valid,3,48,48,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity,valid,4,48,48,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity,valid,5,48,48,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity,valid,6,48,48,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity,valid,7,48,48,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity,valid,8,48,48,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity,valid,9,48,48,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity,valid,10,48,48,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity,valid,11,48,48,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity,valid,12,48,48,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity,valid,13,48,48,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity,valid,14,48,48,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity,valid,15,48,48,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity,valid,16,48,48,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity,valid,17,48,48,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity,valid,18,48,48,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity,valid,19,48,48,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity,valid,20,48,48,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity,valid,21,48,48,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity,valid,22,48,48,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity,valid,23,48,48,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity,valid,24,48,48,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity,valid,25,48,48,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity,valid,26,48,48,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity,valid,27,48,48,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity,valid,28,48,48,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity,valid,29,48,48,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity,valid,30,48,48,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,1,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,2,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,3,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,4,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,5,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,6,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,7,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,8,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,9,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,10,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,11,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,12,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,13,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,14,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,15,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,16,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,17,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,18,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,19,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,20,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,21,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,22,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,23,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,24,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,25,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,26,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,27,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,28,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,29,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,30,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity_xx,valid,1,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
