relation,type,run,num_qubits,reps,maxiter,source_num_parameters,follow_num_parameters,source_depth,follow_depth,delta_E,avg_energy_diff,max_energy_diff,avg_sym_diff,max_sym_diff,avg_param_diff,max_param_diff,trace_len,violation
identity,valid,1,6,3,160,48,48,29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity,valid,2,6,3,160,48,48,29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity,valid,3,6,3,160,48,48,29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity,valid,4,6,3,160,48,48,29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity,valid,5,6,3,160,48,48,29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity,valid,6,6,3,160,48,48,29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity,valid,7,6,3,160,48,48,29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity,valid,8,6,3,160,48,48,29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity,valid,9,6,3,160,48,48,29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity,valid,10,6,3,160,48,48,29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity,valid,11,6,3,160,48,48,29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity,valid,12,6,3,160,48,48,29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity,valid,13,6,3,160,48,48,29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity,valid,14,6,3,160,48,48,29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity,valid,15,6,3,160,48,48,29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity,valid,16,6,3,160,48,48,29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity,valid,17,6,3,160,48,48,29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity,valid,18,6,3,160,48,48,29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity,valid,19,6,3,160,48,48,29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity,valid,20,6,3,160,48,48,29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity,valid,21,6,3,160,48,48,29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity,valid,22,6,3,160,48,48,29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity,valid,23,6,3,160,48,48,29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity,valid,24,6,3,160,48,48,29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity,valid,25,6,3,160,48,48,29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity,valid,26,6,3,160,48,48,29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity,valid,27,6,3,160,48,48,29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity,valid,28,6,3,160,48,48,29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity,valid,29,6,3,160,48,48,29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity,valid,30,6,3,160,48,48,29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
barrier,valid,1,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
barrier,valid,2,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
barrier,valid,3,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
barrier,valid,4,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
barrier,valid,5,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
barrier,valid,6,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
barrier,valid,7,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
barrier,valid,8,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
barrier,valid,9,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
barrier,valid,10,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
barrier,valid,11,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
barrier,valid,12,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
barrier,valid,13,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
barrier,valid,14,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
barrier,valid,15,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
