energy_threshold,symmetry_threshold,param_threshold,fp_rate_pct,tp_rate_pct,precision,recall,f1_score,tp,fp,tn,fn
1e-06,1e-06,1e-06,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,1e-06,1e-05,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,1e-06,0.0001,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,1e-06,0.001,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,1e-06,0.01,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,1e-06,0.1,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,1e-06,0.5,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,1e-06,1.0,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,1e-05,1e-06,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,1e-05,1e-05,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,1e-05,0.0001,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,1e-05,0.001,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,1e-05,0.01,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,1e-05,0.1,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,1e-05,0.5,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,1e-05,1.0,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.0001,1e-06,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.0001,1e-05,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.0001,0.0001,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.0001,0.001,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.0001,0.01,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.0001,0.1,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.0001,0.5,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.0001,1.0,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.001,1e-06,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.001,1e-05,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.001,0.0001,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.001,0.001,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.001,0.01,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.001,0.1,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.001,0.5,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.001,1.0,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.01,1e-06,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.01,1e-05,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.01,0.0001,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.01,0.001,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.01,0.01,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.01,0.1,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.01,0.5,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.01,1.0,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.05,1e-06,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.05,1e-05,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.05,0.0001,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.05,0.001,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.05,0.01,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.05,0.1,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.05,0.5,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.05,1.0,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.1,1e-06,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.1,1e-05,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.1,0.0001,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.1,0.001,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.1,0.01,0.0,100.0,1.0,1.0,1.0,180,0,90,0
1e-06,0.1,0.1,0.0,100.0,1.0,1.0,1.0,180,0,90,0
