energy_threshold,symmetry_threshold,fp_rate_pct,tp_rate_pct,precision,recall,f1_score,tp,fp,tn,fn
0.05,0.02,13.33,98.33,0.9365,0.9833,0.9593,59,4,26,1
0.05,0.05,3.33,88.33,0.9815,0.8833,0.9298,53,1,29,7
0.05,0.08,3.33,83.33,0.9804,0.8333,0.9009,50,1,29,10
0.05,0.1,3.33,78.33,0.9792,0.7833,0.8704,47,1,29,13
0.05,0.12,3.33,76.67,0.9787,0.7667,0.8598,46,1,29,14
0.05,0.15,3.33,75.0,0.9783,0.75,0.8491,45,1,29,15
0.05,0.2,3.33,75.0,0.9783,0.75,0.8491,45,1,29,15
0.1,0.02,10.0,98.33,0.9516,0.9833,0.9672,59,3,27,1
0.1,0.05,0.0,80.0,1.0,0.8,0.8889,48,0,30,12
0.1,0.08,0.0,70.0,1.0,0.7,0.8235,42,0,30,18
0.1,0.1,0.0,63.33,1.0,0.6333,0.7755,38,0,30,22
0.1,0.12,0.0,61.67,1.0,0.6167,0.7629,37,0,30,23
0.1,0.15,0.0,58.33,1.0,0.5833,0.7368,35,0,30,25
0.1,0.2,0.0,56.67,1.0,0.5667,0.7234,34,0,30,26
0.15,0.02,10.0,98.33,0.9516,0.9833,0.9672,59,3,27,1
0.15,0.05,0.0,75.0,1.0,0.75,0.8571,45,0,30,15
0.15,0.08,0.0,65.0,1.0,0.65,0.7879,39,0,30,21
0.15,0.1,0.0,55.0,1.0,0.55,0.7097,33,0,30,27
0.15,0.12,0.0,51.67,1.0,0.5167,0.6813,31,0,30,29
0.15,0.15,0.0,46.67,1.0,0.4667,0.6364,28,0,30,32
0.15,0.2,0.0,43.33,1.0,0.4333,0.6047,26,0,30,34
0.2,0.02,10.0,98.33,0.9516,0.9833,0.9672,59,3,27,1
0.2,0.05,0.0,71.67,1.0,0.7167,0.835,43,0,30,17
0.2,0.08,0.0,60.0,1.0,0.6,0.75,36,0,30,24
0.2,0.1,0.0,50.0,1.0,0.5,0.6667,30,0,30,30
0.2,0.12,0.0,46.67,1.0,0.4667,0.6364,28,0,30,32
0.2,0.15,0.0,41.67,1.0,0.4167,0.5882,25,0,30,35
0.2,0.2,0.0,38.33,1.0,0.3833,0.5542,23,0,30,37
0.25,0.02,10.0,98.33,0.9516,0.9833,0.9672,59,3,27,1
0.25,0.05,0.0,71.67,1.0,0.7167,0.835,43,0,30,17
0.25,0.08,0.0,60.0,1.0,0.6,0.75,36,0,30,24
0.25,0.1,0.0,50.0,1.0,0.5,0.6667,30,0,30,30
0.25,0.12,0.0,46.67,1.0,0.4667,0.6364,28,0,30,32
0.25,0.15,0.0,41.67,1.0,0.4167,0.5882,25,0,30,35
0.25,0.2,0.0,38.33,1.0,0.3833,0.5542,23,0,30,37
0.3,0.02,10.0,98.33,0.9516,0.9833,0.9672,59,3,27,1
0.3,0.05,0.0,71.67,1.0,0.7167,0.835,43,0,30,17
0.3,0.08,0.0,60.0,1.0,0.6,0.75,36,0,30,24
0.3,0.1,0.0,50.0,1.0,0.5,0.6667,30,0,30,30
0.3,0.12,0.0,45.0,1.0,0.45,0.6207,27,0,30,33
0.3,0.15,0.0,40.0,1.0,0.4,0.5714,24,0,30,36
0.3,0.2,0.0,36.67,1.0,0.3667,0.5366,22,0,30,38
0.35,0.02,10.0,98.33,0.9516,0.9833,0.9672,59,3,27,1
0.35,0.05,0.0,71.67,1.0,0.7167,0.835,43,0,30,17
0.35,0.08,0.0,60.0,1.0,0.6,0.75,36,0,30,24
0.35,0.1,0.0,48.33,1.0,0.4833,0.6517,29,0,30,31
0.35,0.12,0.0,43.33,1.0,0.4333,0.6047,26,0,30,34
0.35,0.15,0.0,38.33,1.0,0.3833,0.5542,23,0,30,37
0.35,0.2,0.0,35.0,1.0,0.35,0.5185,21,0,30,39
0.4,0.02,10.0,98.33,0.9516,0.9833,0.9672,59,3,27,1
0.4,0.05,0.0,71.67,1.0,0.7167,0.835,43,0,30,17
0.4,0.08,0.0,60.0,1.0,0.6,0.75,36,0,30,24
0.4,0.1,0.0,48.33,1.0,0.4833,0.6517,29,0,30,31
0.4,0.12,0.0,41.67,1.0,0.4167,0.5882,25,0,30,35
0.4,0.15,0.0,36.67,1.0,0.3667,0.5366,22,0,30,38
0.4,0.2,0.0,33.33,1.0,0.3333,0.5,20,0,30,40
