energy_threshold,symmetry_threshold,fp_rate_pct,tp_rate_pct,precision,recall,f1_score,tp,fp,tn,fn
0.01,0.01,0.0,100.0,1.0,1.0,1.0,60,0,30,0
0.01,0.02,0.0,100.0,1.0,1.0,1.0,60,0,30,0
0.01,0.03,0.0,96.67,1.0,0.9667,0.9831,58,0,30,2
0.01,0.05,0.0,96.67,1.0,0.9667,0.9831,58,0,30,2
0.01,0.08,0.0,96.67,1.0,0.9667,0.9831,58,0,30,2
0.01,0.1,0.0,96.67,1.0,0.9667,0.9831,58,0,30,2
0.01,0.15,0.0,95.0,1.0,0.95,0.9744,57,0,30,3
0.01,0.2,0.0,95.0,1.0,0.95,0.9744,57,0,30,3
0.02,0.01,0.0,100.0,1.0,1.0,1.0,60,0,30,0
0.02,0.02,0.0,98.33,1.0,0.9833,0.9916,59,0,30,1
0.02,0.03,0.0,93.33,1.0,0.9333,0.9655,56,0,30,4
0.02,0.05,0.0,91.67,1.0,0.9167,0.9565,55,0,30,5
0.02,0.08,0.0,91.67,1.0,0.9167,0.9565,55,0,30,5
0.02,0.1,0.0,91.67,1.0,0.9167,0.9565,55,0,30,5
0.02,0.15,0.0,90.0,1.0,0.9,0.9474,54,0,30,6
0.02,0.2,0.0,90.0,1.0,0.9,0.9474,54,0,30,6
0.03,0.01,0.0,100.0,1.0,1.0,1.0,60,0,30,0
0.03,0.02,0.0,98.33,1.0,0.9833,0.9916,59,0,30,1
0.03,0.03,0.0,93.33,1.0,0.9333,0.9655,56,0,30,4
0.03,0.05,0.0,90.0,1.0,0.9,0.9474,54,0,30,6
0.03,0.08,0.0,90.0,1.0,0.9,0.9474,54,0,30,6
0.03,0.1,0.0,90.0,1.0,0.9,0.9474,54,0,30,6
0.03,0.15,0.0,88.33,1.0,0.8833,0.9381,53,0,30,7
0.03,0.2,0.0,88.33,1.0,0.8833,0.9381,53,0,30,7
0.05,0.01,0.0,100.0,1.0,1.0,1.0,60,0,30,0
0.05,0.02,0.0,98.33,1.0,0.9833,0.9916,59,0,30,1
0.05,0.03,0.0,91.67,1.0,0.9167,0.9565,55,0,30,5
0.05,0.05,0.0,86.67,1.0,0.8667,0.9286,52,0,30,8
0.05,0.08,0.0,86.67,1.0,0.8667,0.9286,52,0,30,8
0.05,0.1,0.0,85.0,1.0,0.85,0.9189,51,0,30,9
0.05,0.15,0.0,83.33,1.0,0.8333,0.9091,50,0,30,10
0.05,0.2,0.0,83.33,1.0,0.8333,0.9091,50,0,30,10
0.08,0.01,0.0,100.0,1.0,1.0,1.0,60,0,30,0
0.08,0.02,0.0,98.33,1.0,0.9833,0.9916,59,0,30,1
0.08,0.03,0.0,91.67,1.0,0.9167,0.9565,55,0,30,5
0.08,0.05,0.0,86.67,1.0,0.8667,0.9286,52,0,30,8
0.08,0.08,0.0,83.33,1.0,0.8333,0.9091,50,0,30,10
0.08,0.1,0.0,80.0,1.0,0.8,0.8889,48,0,30,12
0.08,0.15,0.0,75.0,1.0,0.75,0.8571,45,0,30,15
0.08,0.2,0.0,75.0,1.0,0.75,0.8571,45,0,30,15
0.1,0.01,0.0,100.0,1.0,1.0,1.0,60,0,30,0
0.1,0.02,0.0,98.33,1.0,0.9833,0.9916,59,0,30,1
0.1,0.03,0.0,91.67,1.0,0.9167,0.9565,55,0,30,5
0.1,0.05,0.0,86.67,1.0,0.8667,0.9286,52,0,30,8
0.1,0.08,0.0,83.33,1.0,0.8333,0.9091,50,0,30,10
0.1,0.1,0.0,80.0,1.0,0.8,0.8889,48,0,30,12
0.1,0.15,0.0,73.33,1.0,0.7333,0.8462,44,0,30,16
0.1,0.2,0.0,73.33,1.0,0.7333,0.8462,44,0,30,16
0.15,0.01,0.0,100.0,1.0,1.0,1.0,60,0,30,0
0.15,0.02,0.0,98.33,1.0,0.9833,0.9916,59,0,30,1
0.15,0.03,0.0,90.0,1.0,0.9,0.9474,54,0,30,6
0.15,0.05,0.0,83.33,1.0,0.8333,0.9091,50,0,30,10
0.15,0.08,0.0,73.33,1.0,0.7333,0.8462,44,0,30,16
0.15,0.1,0.0,70.0,1.0,0.7,0.8235,42,0,30,18
0.15,0.15,0.0,63.33,1.0,0.6333,0.7755,38,0,30,22
0.15,0.2,0.0,63.33,1.0,0.6333,0.7755,38,0,30,22
0.2,0.01,0.0,100.0,1.0,1.0,1.0,60,0,30,0
0.2,0.02,0.0,98.33,1.0,0.9833,0.9916,59,0,30,1
0.2,0.03,0.0,90.0,1.0,0.9,0.9474,54,0,30,6
0.2,0.05,0.0,83.33,1.0,0.8333,0.9091,50,0,30,10
0.2,0.08,0.0,71.67,1.0,0.7167,0.835,43,0,30,17
0.2,0.1,0.0,65.0,1.0,0.65,0.7879,39,0,30,21
0.2,0.15,0.0,58.33,1.0,0.5833,0.7368,35,0,30,25
0.2,0.2,0.0,58.33,1.0,0.5833,0.7368,35,0,30,25
